"","x"
"947","MZT2B"
"948","N4BP3"
"949","NAA16"
"950","NAA30"
"951","NAA40"
"952","NAF1"
"953","NALF1"
"954","NANS"
"955","NAPA"
"956","NAPA-AS1"
"957","NAV2"
"958","NAV2-AS2"
"959","NAV2-AS6"
"960","NBAS"
"961","NBPF1"
"962","NCAPH2"
"963","NCBP2"
"964","NCBP2AS2"
"965","NCBP3"
"966","NCOA1"
"967","NCOA6"
"968","ND3"
"969","NDUFA1"
"970","NDUFA11"
"971","NDUFA12"
"972","NDUFA13"
"973","NDUFA2"
"974","NDUFA5"
"975","NDUFA8"
"976","NDUFA9"
"977","NDUFAF3"
"978","NDUFAF7"
"979","NDUFAF8"
"980","NDUFB10"
"981","NDUFB11"
"982","NDUFB2"
"983","NDUFB4"
"984","NDUFB7"
"985","NDUFB9"
"986","NDUFC1"
"987","NDUFC2"
"988","NDUFS4"
"989","NDUFS5"
"990","NDUFS6"
"991","NDUFS7"
"992","NDUFS8"
"993","NECAP2"
"994","NEMF"
"995","NENF"
"996","NETO2"
"997","NFKB2"
"998","NFKBIA"
"999","NFKBIZ"
"1000","NFRKB"
"1001","NFU1"
"1002","NFYA"
"1003","NFYB"
"1004","NFYC-AS1"
"1005","NGLY1"
"1006","NIFK"
"1007","NIFK-AS1"
"1008","NIN"
"1009","NINL"
"1010","NIPBL"
"1011","NIPBL-DT"
"1012","NIT1"
"1013","NKTR"
"1014","NKX6-2"
"1015","NME9"
"1016","NMNAT1"
"1017","NOL11"
"1018","NOL8"
"1019","NOL9"
"1020","NOM1"
"1021","NOP10"
"1022","NOPCHAP1"
"1023","NOSIP"
"1024","NPAT"
"1025","NPC1"
"1026","NPC2"
"1027","NPRL2"
"1028","NQO1"
"1029","NR1H2"
"1030","NRBP1"
"1031","NSD1"
"1032","NSD3"
"1033","NSMCE1"
"1034","NSUN3"
"1035","NSUN4"
"1036","NTMT1"
"1037","NUAK2"
"1038","NUBP2"
"1039","NUDT16L1"
"1040","NUDT17"
"1041","NUDT18"
"1042","NUDT21"
"1043","NUDT22"
"1044","NUP153-AS1"
"1045","NUP42"
"1046","NUP43"
"1047","NUP50"
"1048","NUP58"
"1049","NUPR1"
"1050","NUTF2"
"1051","OARD1"
"1052","OBI1"
"1053","OBI1-AS1"
"1054","OBSCN"
"1055","ODF2L"
"1056","OGFR"
"1057","OPTN"
"1058","ORC2"
"1059","ORMDL2"
"1060","OSER1"
"1061","OST4"
"1062","OSTF1"
"1063","OTUD3"
"1064","OTUD6B"
"1065","OTUD6B-AS1"
"1066","OXLD1"
"1067","P4HA2"
"1068","P4HA3"
"1069","PABPC1"
"1070","PABPN1"
"1071","PACRGL"
"1072","PALB2"
"1073","PAN3"
"1074","PANK1"
"1075","PAPOLA"
"1076","PAPOLG"
"1077","PARK7"
"1078","PARP2"
"1079","PASK"
"1080","PAXBP1"
"1081","PAXIP1"
"1082","PBRM1"
"1083","PCBP1"
"1084","PCBP4"
"1085","PCCB"
"1086","PCDHGA11"
"1087","PCF11"
"1088","PCID2"
"1089","PCM1"
"1090","PCMT1"
"1091","PCMTD2"
"1092","PCYOX1L"
"1093","PDAP1"
"1094","PDCD7"
"1095","PDE7A"
"1096","PDIK1L"
"1097","PDP2"
"1098","PDXK"
"1099","PELO"
"1100","PER1"
"1101","PET100"
"1102","PEX1"
"1103","PEX10"
"1104","PEX14"
"1105","PEX16"
"1106","PFDN2"
"1107","PGAP2"
"1108","PGBD1"
"1109","PGBD2"
"1110","PGGT1B"
"1111","PGLS"
"1112","PGLS-DT"
"1113","PGP"
"1114","PHACTR4"
"1115","PHAX"
"1116","PHB1"
"1117","PHF10"
"1118","PHF20L1"
"1119","PHF3"
"1120","PHF6"
"1121","PHIP"
"1122","PHLDA3"
"1123","PHPT1"
"1124","PI4K2A"
"1125","PIBF1"
"1126","PIGF"
"1127","PIGM"
"1128","PIH1D1"
"1129","PIH1D2"
"1130","PIKFYVE"
"1131","PIN1"
"1132","PIN4"
"1133","PIP4P1"
"1134","PISD"
"1135","PITPNA-AS1"
"1136","PITPNB"
"1137","PITPNM2"
"1138","PKM"
"1139","PLAG1"
"1140","PLAGL1"
"1141","PLCB1"
"1142","PLEKHA1"
"1143","PLEKHA5"
"1144","PLEKHA8"
"1145","PLIN2"
"1146","PMS1"
"1147","PMS2"
"1148","PMVK"
"1149","PNISR"
"1150","PNKP"
"1151","POLD3"
"1152","POLDIP2"
"1153","POLI"
"1154","POLR1B"
"1155","POLR1F"
"1156","POLR2C"
"1157","POLR2F"
"1158","POLR2J"
"1159","POLR2L"
"1160","POLR2M"
"1161","POLR3F"
"1162","POLR3K"
"1163","POP1"
"1164","POT1"
"1165","PP2D1"
"1166","PPARG"
"1167","PPIG"
"1168","PPIL2"
"1169","PPIL4"
"1170","PPIP5K2"
"1171","PPM1L"
"1172","PPME1"
"1173","PPP1CA"
"1174","PPP1R12B"
"1175","PPP1R26"
"1176","PPP2R1A"
"1177","PPP2R1B"
"1178","PPP2R3A"
"1179","PPP2R5B"
"1180","PPP4C"
"1181","PPP4R2"
"1182","PPP4R3A"
"1183","PPP4R3B"
"1184","PPT1"
"1185","PPWD1"
"1186","PQBP1"
"1187","PRADC1"
"1188","PRDM11"
"1189","PRDX1"
